1446592194.267987 X: (0x728 --> 0x72 (114)) 0x76 (118); 
1446592194.269994 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.270035 X: (0x822 --> 0x82 (130)) 0x82 (130); 
1446592194.270066 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.270108 X: (0x823 --> 0x82 (130)) 0x82 (130); 
1446592194.270138 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.270179 X: (0x821 --> 0x82 (130)) 0x82 (130); 
1446592194.270210 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.270251 X: (0x821 --> 0x82 (130)) 0x82 (130); 
1446592194.270282 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592194.270323 X: (0x823 --> 0x82 (130)) 0x82 (130); 
1446592194.270353 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592194.270394 X: (0x821 --> 0x82 (130)) 0x82 (130); 
1446592194.270425 Y: (0x801 --> 0x80 (128)) 0x80 (128) 

1446592194.270466 X: (0x823 --> 0x82 (130)) 0x82 (130); 
1446592194.270497 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592194.270538 X: (0x820 --> 0x82 (130)) 0x82 (130); 
1446592194.270568 Y: (0x802 --> 0x80 (128)) 0x80 (128) 

1446592194.270610 X: (0x81F --> 0x81 (129)) 0x81 (129); 
1446592194.270640 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.270682 X: (0x81F --> 0x81 (129)) 0x81 (129); 
1446592194.270712 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.270753 X: (0x820 --> 0x82 (130)) 0x81 (129); 
1446592194.270784 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.270825 X: (0x822 --> 0x82 (130)) 0x81 (129); 
1446592194.270856 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.270896 X: (0x822 --> 0x82 (130)) 0x81 (129); 
1446592194.270927 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.270968 X: (0x820 --> 0x82 (130)) 0x82 (130); 
1446592194.270998 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.271039 X: (0x821 --> 0x82 (130)) 0x82 (130); 
1446592194.271070 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.271111 X: (0x821 --> 0x82 (130)) 0x82 (130); 
1446592194.271141 Y: (0x802 --> 0x80 (128)) 0x80 (128) 

1446592194.271182 X: (0x824 --> 0x82 (130)) 0x82 (130); 
1446592194.271212 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592194.271253 X: (0x820 --> 0x82 (130)) 0x82 (130); 
1446592194.271283 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.271324 X: (0x820 --> 0x82 (130)) 0x82 (130); 
1446592194.271360 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.271402 X: (0x81F --> 0x81 (129)) 0x81 (129); 
1446592194.271433 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.271474 X: (0x81E --> 0x81 (129)) 0x81 (129); 
1446592194.271505 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.271545 X: (0x820 --> 0x82 (130)) 0x81 (129); 
1446592194.271576 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592194.271617 X: (0x820 --> 0x82 (130)) 0x81 (129); 
1446592194.271647 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.271688 X: (0x81F --> 0x81 (129)) 0x81 (129); 
1446592194.271718 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592194.271759 X: (0x81F --> 0x81 (129)) 0x81 (129); 
1446592194.271789 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592194.271830 X: (0x81F --> 0x81 (129)) 0x81 (129); 
1446592194.271860 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.271900 X: (0x81E --> 0x81 (129)) 0x81 (129); 
1446592194.271931 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592194.271971 X: (0x821 --> 0x82 (130)) 0x81 (129); 
1446592194.272002 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.272042 X: (0x81F --> 0x81 (129)) 0x81 (129); 
1446592194.272072 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.272113 X: (0x820 --> 0x82 (130)) 0x81 (129); 
1446592194.272144 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.272184 X: (0x81C --> 0x81 (129)) 0x81 (129); 
1446592194.272214 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.272255 X: (0x81D --> 0x81 (129)) 0x81 (129); 
1446592194.272285 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.272325 X: (0x81F --> 0x81 (129)) 0x81 (129); 
1446592194.272356 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.272397 X: (0x81F --> 0x81 (129)) 0x81 (129); 
1446592194.272446 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.272488 X: (0x81E --> 0x81 (129)) 0x81 (129); 
1446592194.272519 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592194.272560 X: (0x81B --> 0x81 (129)) 0x81 (129); 
1446592194.272606 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.272649 X: (0x81D --> 0x81 (129)) 0x81 (129); 
1446592194.272681 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.272894 X: (0x81F --> 0x--> 0x80 (128)) 0x80 (128); 
1446592194.273342 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.366308 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592194.366730 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.459634 X: (0x80C --> 0x80 (128)) 0x80 (128); 
1446592194.460053 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592194.552955 X: (0x80D --> 0x80 (128)) 0x80 (128); 
1446592194.553378 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.646281 X: (0x809 --> 0x80 (128)) 0x80 (128); 
1446592194.646703 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.739612 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592194.740028 Y: (0x808 --> 0x80 (128)) 0x80 (128) 

1446592194.832931 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592194.833351 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592194.926255 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592194.926675 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592195.19580 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592195.19996 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592195.112880 X: (0x80C --> 0x80 (128)) 0x80 (128); 
1446592195.113300 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592195.206178 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592195.206601 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592195.299508 X: (0x808 --> 0x80 (128)) 0x80 (128); 
1446592195.299919 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592195.392805 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592195.393223 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592195.486129 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592195.486553 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592195.579455 X: (0x80D --> 0x80 (128)) 0x80 (128); 
1446592195.579872 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592195.672778 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592195.673197 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592195.766103 X: (0x809 --> 0x80 (128)) 0x80 (128); 
1446592195.766522 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592195.859425 X: (0x80D --> 0x80 (128)) 0x80 (128); 
1446592195.859841 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592195.952725 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592195.953145 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592196.46047 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592196.46470 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592196.139373 X: (0x809 --> 0x80 (128)) 0x80 (128); 
1446592196.139793 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592196.232697 X: (0x80D --> 0x80 (128)) 0x80 (128); 
1446592196.233118 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592196.326019 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592196.326444 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592196.419346 X: (0x809 --> 0x80 (128)) 0x80 (128); 
1446592196.419767 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592196.512694 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592196.513116 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592196.606017 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592196.606441 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592196.699349 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592196.699765 Y: (0x80A --> 0x80 (128)) 0x80 (128) 

1446592196.792693 X: (0x809 --> 0x80 (128)) 0x80 (128); 
1446592196.793103 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592196.885991 X: (0x80D --> 0x80 (128)) 0x80 (128); 
1446592196.886414 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592196.979321 X: (0x808 --> 0x80 (128)) 0x80 (128); 
1446592196.979738 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592197.72646 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592197.73057 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592197.165940 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592197.166361 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592197.259265 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592197.259686 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592197.352595 X: (0x808 --> 0x80 (128)) 0x80 (128); 
1446592197.353011 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592197.445890 X: (0x809 --> 0x80 (128)) 0x80 (128); 
1446592197.446313 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592197.539215 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592197.539635 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592197.632538 X: (0x80D --> 0x80 (128)) 0x80 (128); 
1446592197.632959 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592197.725864 X: (0x807 --> 0x80 (128)) 0x80 (128); 
1446592197.726273 Y: (0x807 --> 0x80 (128)) 0x80 (128) 

1446592197.819161 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592197.819585 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592197.912488 X: (0x80D --> 0x80 (128)) 0x80 (128); 
1446592197.912907 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592198.5811 X: (0x80C --> 0x80 (128)) 0x80 (128); 
1446592198.6232 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592198.99135 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592198.99558 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592198.192462 X: (0x80D --> 0x80 (128)) 0x80 (128); 
1446592198.192882 Y: (0x807 --> 0x80 (128)) 0x80 (128) 

1446592198.285782 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592198.286203 Y: (0x802 --> 0x80 (128)) 0x80 (128) 

1446592198.379108 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592198.379531 Y: (0x807 --> 0x80 (128)) 0x80 (128) 

1446592198.472434 X: (0x80C --> 0x80 (128)) 0x80 (128); 
1446592198.472852 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592198.565755 X: (0x80C --> 0x80 (128)) 0x80 (128); 
1446592198.566177 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592198.659079 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592198.659504 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592198.752410 X: (0x808 --> 0x80 (128)) 0x80 (128); 
1446592198.752821 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592198.845707 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592198.846121 Y: (0x807 --> 0x80 (128)) 0x80 (128) 

1446592198.939002 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592198.939427 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592199.32326 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592199.32749 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592199.125678 X: (0x80C --> 0x80 (128)) 0x80 (128); 
1446592199.126098 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592199.219002 X: (0x80B --> 0x80 (128)) 0x80 (128); 
1446592199.219426 Y: (0x807 --> 0x80 (128)) 0x80 (128) 

1446592199.312325 X: (0x80C --> 0x80 (128)) 0x80 (128); 
1446592199.312747 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592199.405675 X: (0x80E --> 0x80 (128)) 0x80 (128); 
1446592199.406097 Y: (0x807 --> 0x80 (128)) 0x80 (128) 

1446592199.498999 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592199.499424 Y: (0x804 --> 0x80 (128)) 0x80 (128) 

1446592199.592324 X: (0x80C --> 0x80 (128)) 0x80 (128); 
1446592199.592744 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592199.685631 X: (0x80A --> 0x80 (128)) 0x80 (128); 
1446592199.686047 Y: (0x804 --> 0x80 (128)) 0x80 (128)
